juno_address,cosmos_address,resp_amount,comment
juno13d8m0feqkyey2twdwyta756qhj3mh54vyj8t6a7gd6jyz2rwh5tqmwnqaq,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno13dphn7sd06yfazuarfyq6kn44y2guhpjwy8hg6,cosmos13dphn7sd06yfazuarfyq6kn44y2guhpjckyv0x,1,
juno13elvpeszer2m074uaphteeuqewudf30jzhzczc,cosmos13elvpeszer2m074uaphteeuqewudf30j59pr9y,35,
juno13en8cc3pyp3xunt9jqffpv57405n9pgea9qt93,cosmos13en8cc3pyp3xunt9jqffpv57405n9pgethrszd,165,
juno13er6djw40xer2syx4qfw3fcl9fantzs3g7yr3w,cosmos13er6djw40xer2syx4qfw3fcl9fantzs37v8ckj,1,
juno13fk7u9t67kxxjltuw7l92qerytuamvr9na7m9m,cosmos13fk7u9t67kxxjltuw7l92qerytuamvr990aqz8,7,
juno13fu872758wvwj0uq0u8u0pqnfk5qya3ajda97x,cosmos13fu872758wvwj0uq0u8u0pqnfk5qya3ayl77e6,1,
juno13gccl8hlxpkwsp2gc57q3kr9jhr8hz6d2j7ht9,cosmos13gccl8hlxpkwsp2gc57q3kr9jhr8hz6duqavve,123,
juno13gfcca74xad44wpug33ng0epahjqdepz6cq25p,cosmos13gfcca74xad44wpug33ng0epahjqdepzv2r3na,148,
juno13ghhkuy70h6rk2trwmvwl8z3g6nc56dg58eq7u,cosmos13ghhkuy70h6rk2trwmvwl8z3g6nc56dgz46meq,13,
juno13gjvhglmljamj6rvl5s6klt4e4dr0uksssxtwk,cosmos13gjvhglmljamj6rvl5s6klt4e4dr0uksxz9sf2,104,
juno13gkacfd4wzymyt4kf8dg7qteqwrl0jn32kqgcj,cosmos13gkacfd4wzymyt4kf8dg7qteqwrl0jn3uyrnlw,2,
